Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
225,Peja Stojaković,1999,2011,804,33.5,17,4.7,1.8,0.9,0.1,0.45,0.401,0.895,82.6,0.147
226,Latrell Sprewell,1993,2005,913,38.6,18.3,4.1,4,1.4,0.4,0.425,0.337,0.804,56.3,0.077
227,Derek Harper,1984,1999,1199,31.5,13.3,2.4,5.5,1.6,0.3,0.463,0.354,0.745,86.8,0.11
228,Steve Francis,2000,2008,576,37.6,18.1,5.6,6,1.5,0.4,0.429,0.341,0.797,54.1,0.12
229,Mickey Johnson,1975,1986,904,27.7,14.1,7.2,3,1.1,0.7,0.449,0.165,0.8,58.6,0.113
230,Jason Richardson,2002,2015,857,34.1,17.1,5,2.7,1.2,0.4,0.438,0.37,0.707,59.1,0.097
231,Purvis Short,1979,1990,842,29.2,17.3,4.3,2.5,1,0.2,0.474,0.282,0.824,51.1,0.1
232,Orlando Woolridge,1982,1994,851,28.3,16,4.3,1.9,0.6,0.7,0.513,0.091,0.737,53,0.106
233,Austin Carr,1972,1981,682,28.8,15.4,2.9,2.8,0.8,0.1,0.449,0.154,0.804,32.9,0.08
234,Max Zaslofsky,1947,1956,540,28.3,14.8,2.8,2,,,0.343,,0.769,48.3,0.057
235,Bill Laimbeer,1981,1994,1068,31.8,12.9,9.7,2,0.7,0.9,0.498,0.326,0.837,105.6,0.149
236,Antawn Jamison,1999,2014,1083,34.8,18.5,7.5,1.6,1,0.4,0.451,0.346,0.724,87.8,0.112
237,Clark Kellogg,1983,1987,260,32.7,18.9,9.5,2.9,1.5,0.4,0.497,0.338,0.757,20.9,0.118
238,Antoine Walker,1997,2008,893,35.3,17.5,7.7,3.5,1.2,0.5,0.414,0.325,0.633,38.1,0.058
239,Jim McMillian,1971,1979,631,32.1,13.8,5.3,2.5,1.1,0.2,0.482,,0.832,46,0.109
240,Truck Robinson,1975,1985,772,32.6,15.5,9.4,1.7,0.7,0.7,0.483,1,0.662,52.7,0.101
241,Jeff Ruland,1982,1993,332,33.4,17.4,10.2,3,0.8,0.8,0.564,0.158,0.718,34.3,0.149
242,A.C. Green,1986,2001,1278,28.6,9.6,7.4,1.1,0.8,0.4,0.494,0.254,0.734,99.5,0.131
243,Walter Dukes,1956,1963,553,26.5,10.4,11.3,1.1,,,0.369,,0.7,24,0.079
244,Zydrunas Ilgauskas,1998,2011,843,27.2,13,7.3,1.1,0.5,1.6,0.476,0.31,0.78,66.3,0.139
245,Quinn Buckner,1977,1986,719,22.6,8.2,2.7,4.3,1.9,0.1,0.461,0.184,0.657,24.7,0.073
246,Glenn Robinson,1995,2005,688,36.8,20.7,6.1,2.7,1.2,0.6,0.459,0.34,0.82,39.8,0.075
